item_id,raw_text,table_item/transaction_withdrawal_date,table_item/transaction_withdrawal_description,table_item/transaction_withdrawal,table_item/transaction_deposit_description,table_item/transaction_deposit_date,table_item/transaction_deposit
0,"07/2206/3007/10ELECTRONIC PAYMENT-THANK YOU
HEADWAY
NEW YORK NY
HEADWAY
NEW YORK NY-$1,041.44-$10.00-$10.00",07/22,"ELECTRONIC PAYMENT-THANK YOU
HEADWAY
NEW YORK NY
HEADWAY
NEW YORK NY",-$10.00,,,
1,07/16-$16.28,07/16,,-$16.28,,,
2,"MOHIT AGGARWAL
Standard Purchases
07/05 07/05 HEADWAY
HEADWAY.CO NY$10.00",,"MOHIT AGGARWAL
Standard Purchases
07/05 07/05 HEADWAY
HEADWAY.CO NY",$10.00,,,
3,COSTCO WHSE #0678 RANCHO CUCAMOCA$312.41,,COSTCO WHSE #0678 RANCHO CUCAMOCA,$312.41,COSTCO WHSE #0678 RANCHO CUCAMOCA,,
4,"07/12TRADER JOE S #217 RANCHO CUCAMOCA
SQ *HANDEL'S RANCHO CUCAMRancho$66.64",,"TRADER JOE S #217 RANCHO CUCAMOCA
SQ *HANDEL'S RANCHO CUCAMRancho",$66.64,"TRADER JOE S #217 RANCHO CUCAMOCA
SQ *HANDEL'S RANCHO CUCAMRancho",07/12,
5,07/12$13.50,,,$13.50,,07/12,
6,CucamoCA,,CucamoCA,,CucamoCA,,
7,"07/13$10.00HEADWAY
HEADWAY.CO NY",07/13,HEADWAY,$10.00,"HEADWAY
HEADWAY.CO NY",,
8,"07/13$1.995 on gas at CostcoDESI BAZAAR CASH AND CAR RANCHO
CUCAMOCA",07/13,5 on gas at Costco,$1.99,5 on gas at Costco,,
9,HOMEGOODS 275 RCH CUCAMONGACA07/13$18.31,07/13,HOMEGOODS 275 RCH CUCAMONGACA,$18.31,,,
10,ALDI 79061 FONTANA CA07/14$8.91,07/14,ALDI 79061 FONTANA CA,$8.91,,,
11,RING STANDARD PLAN RING.COM CA07/14$9.99,07/14,RING STANDARD PLAN RING.COM CA,$9.99,RING STANDARD PLAN RING.COM CA,,
12,+$0.00,,,,,,+$0.00
13,07/03COSTCO GAS #0686 MONTCLAIR CA$42.49,07/03,COSTCO GAS #0686 MONTCLAIR CA,$42.49,,,
14,07/08COSTCO WHSE #0627 FONTANA CA$2.71,07/08,COSTCO WHSE #0627 FONTANA CA,$2.71,,,
15,07/08COSTCO WHSE #0627 FONTANA CA$145.98,07/08,COSTCO WHSE #0627 FONTANA CA,$145.98,,,
16,07/14COSTCO GAS #0686 MONTCLAIR CA$40.09,07/14,COSTCO GAS #0686 MONTCLAIR CA,$40.09,,,
17,07/16COSTCO WHSE #0627 FONTANA CA$186.02,07/16,COSTCO WHSE #0627 FONTANA CA,$186.02,,,
18,07/17UBER *EATS HELP.UBER.COMCA$35.31,07/17,UBER *EATS HELP.UBER.COMCA,$35.31,UBER *EATS HELP.UBER.COMCA,,
19,07/24COSTCO GAS #0478 SAN BERNARDINCA$42.44,,COSTCO GAS #0478 SAN BERNARDINCA,$42.44,COSTCO GAS #0478 SAN BERNARDINCA,07/24,
